any_sample_inside_raw,direction_as_events_csv,direction_endpoint_rule,displacement_px,end_in_valid_dilated,end_in_valid_raw,final_gate_fail_reason,frame_end,frame_span,frame_start,internal_gap_frames,is_exit_as_events_csv,not_exit_reason_primary,num_detections,overlay_category,passed_post_filter_pre_merge,path_length_px,relaxed_exit_outward,start_in_valid_dilated,start_in_valid_raw,track_id,x_end,x_start,y_end,y_start
False,outside,outside,0.0,False,False,min_track_length,3049,1,3049,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,110,406.5,406.5,557.0,557.0
False,outside,outside,0.0,False,False,min_track_length,3082,1,3082,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,111,828.5,828.5,542.0,542.0
False,outside,outside,0.0,False,False,min_track_length,3085,1,3085,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,112,550.0,550.0,566.0,566.0
False,outside,outside,0.0,False,False,min_track_length,3085,1,3085,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,113,984.5,984.5,253.5,253.5
False,outside,outside,0.0,False,False,min_track_length,3121,1,3121,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,114,409.5,409.5,472.5,472.5
False,outside,outside,0.0,True,False,min_track_length,3126,1,3126,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,True,False,115,702.0,702.0,574.0,574.0
False,outside,outside,0.0,False,False,min_track_length,3142,1,3142,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,116,742.5,742.5,508.0,508.0
False,outside,outside,0.0,True,False,min_track_length,3201,1,3201,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,True,False,117,677.5,677.5,584.0,584.0
False,outside,outside,0.0,False,False,min_track_length,3262,1,3262,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,118,845.5,845.5,534.5,534.5
False,outside,outside,0.0,False,False,min_track_length,3291,1,3291,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,119,290.5,290.5,589.5,589.5
False,outside,outside,82.76,False,False,min_track_length,3325,3,3323,0,False,strict_endpoints_both_outside_never_inside_mask,3,no_exit_length_or_shape,False,88.77,False,False,False,120,1263.5,1336.5,130.0,91.0
False,outside,outside,103.26,False,False,min_track_length,3325,3,3323,1,False,strict_endpoints_both_outside_never_inside_mask,2,no_exit_length_or_shape,False,103.26,False,False,False,121,1272.5,1347.0,118.5,47.0
False,outside,outside,97.05,False,False,min_track_length,3326,3,3324,0,False,strict_endpoints_both_outside_never_inside_mask,3,no_exit_length_or_shape,False,97.24,False,False,False,122,1089.0,1176.0,64.0,21.0
False,outside,outside,596.6,False,False,require_start_or_end_in_valid_region,3334,10,3325,1,False,strict_endpoints_both_outside_never_inside_mask,9,no_exit_gate_final,False,712.3,False,False,False,123,855.0,1214.0,651.5,175.0
False,outside,outside,0.0,False,False,min_track_length,3325,1,3325,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,124,1212.0,1212.0,120.5,120.5
False,outside,outside,34.6,False,False,min_track_length,3326,2,3325,0,False,strict_endpoints_both_outside_never_inside_mask,2,no_exit_length_or_shape,False,34.6,False,False,False,125,1163.5,1142.5,134.0,106.5
False,outside,outside,20.65,False,False,min_track_length,3326,2,3325,0,False,strict_endpoints_both_outside_never_inside_mask,2,no_exit_length_or_shape,False,20.65,False,False,False,126,1121.0,1123.5,94.0,73.5
False,outside,outside,8.6,False,False,min_track_length,3327,2,3326,0,False,strict_endpoints_both_outside_never_inside_mask,2,no_exit_length_or_shape,False,8.6,False,False,False,127,1059.0,1052.0,82.5,87.5
False,outside,outside,0.0,False,False,min_track_length,3326,1,3326,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,128,1060.5,1060.5,34.5,34.5
